pango,root,total_samples,max_descendants,min_descendants,parent_max_descendants,parent_min_descendants,diff,diff_parent,relative_diff,relative_diff_parent
BA.2.75.3,1298100,35,35,35,35,35,0,0,0.0,0.0
BA.2.75.4,1357696,17,17,17,17,17,0,0,0.0,0.0
BA.2.75.5,1335912,117,117,117,117,117,0,0,0.0,0.0
BA.2.75.6,2712159,11,8,8,11,11,3,0,0.2727272727272727,0.0
BA.2.75.7,1370328,9,4,4,7,7,5,2,0.5555555555555556,0.2222222222222222
BA.2.76,2739758,251,226,226,226,226,25,25,0.099601593625498,0.099601593625498
BA.2.78,1234568,21,17,17,17,17,4,4,0.19047619047619047,0.19047619047619047
BA.2.79,1257546,12,12,12,12,12,0,0,0.0,0.0
BA.2.79.1,1283016,3,3,3,3,3,0,0,0.0,0.0
BA.2.8,1045825,3442,3441,3441,3441,3441,1,1,0.0002905287623474724,0.0002905287623474724
BA.2.81,1247002,18,18,18,18,18,0,0,0.0,0.0
BA.2.82,1307634,1,1,1,1,1,0,0,0.0,0.0
BA.2.9,2730731,19336,13004,13004,13801,13801,6332,5535,0.3274720728175424,0.2862536201903186
BA.2.9.1,1108243,128,128,128,128,128,0,0,0.0,0.0
BA.2.9.2,1072597,269,191,191,191,191,78,78,0.2899628252788104,0.2899628252788104
BA.2.9.3,1115496,191,94,94,99,99,97,92,0.5078534031413613,0.4816753926701571
BA.2.9.4,1242029,1,1,1,1,1,0,0,0.0,0.0
BA.2.9.5,1137549,16,2,2,2,2,14,14,0.875,0.875
BA.2.9.6,1217205,16,16,16,16,16,0,0,0.0,0.0
BA.2.9.7,1210955,71,71,71,71,71,0,0,0.0,0.0
BA.4,1265302,4234,4234,4205,4234,4205,0,0,0.0,0.0
BA.4.1,1186153,7931,7885,7883,7931,7930,46,0,0.0058000252175009455,0.0
BA.4.1.1,1235346,369,257,257,343,343,112,26,0.3035230352303523,0.07046070460704607
BA.4.1.10,1350805,6,6,6,6,6,0,0,0.0,0.0
BA.4.1.11,1422742,1,1,1,1,1,0,0,0.0,0.0
BA.4.1.2,1240801,2,2,2,2,2,0,0,0.0,0.0
BA.4.1.3,1279566,7,7,7,7,7,0,0,0.0,0.0
BA.4.1.4,1273436,14,8,8,8,8,6,6,0.42857142857142855,0.42857142857142855
BA.4.1.5,1284838,14,9,9,14,14,5,0,0.35714285714285715,0.0
BA.4.1.6,1249593,227,218,218,227,227,9,0,0.039647577092511016,0.0
BA.4.1.8,1269240,370,370,370,370,370,0,0,0.0,0.0
BA.4.1.9,2703395,80,59,59,80,80,21,0,0.2625,0.0
BA.4.2,1235403,748,748,748,748,748,0,0,0.0,0.0
BA.4.3,1247079,11,11,11,11,11,0,0,0.0,0.0
BA.4.4,1217844,1056,1054,1054,1056,1056,2,0,0.001893939393939394,0.0
BA.4.5,1217406,25,25,25,25,25,0,0,0.0,0.0
BA.4.6,1277883,7941,7941,7351,7941,7351,0,0,0.0,0.0
BA.4.6.1,1277058,202,202,202,202,202,0,0,0.0,0.0
BA.4.6.2,1373958,18,18,18,18,18,0,0,0.0,0.0
