pango,pango_designation_issue,pango_designation_type,pango_designation_left_pango_parent,pango_designation_right_pango_parent,pango_designation_left_breakpoint,pango_designation_right_breakpoint,viridian04_num_samples_pass,viridian04_num_samples_filtered,viridian04_sublineages_filtered,viridian04_is_in_filtered,sc2ts_issue,sc2ts_is_in_arg,sc2ts_is_in_matches,sc2ts_type,sc2ts_is_clean,sc2ts_is_nested,sc2ts_is_pango_parents_concordant,sc2ts_left_pango_parent,sc2ts_right_pango_parent,sc2ts_left_breakpoint,sc2ts_right_breakpoint,rh_gisaid_is_in,rh_gisaid_type,rh_gisaid_left_pango_parent,rh_gisaid_right_pango_parent,rh_gisaid_left_breakpoint,rh_gisaid_right_breakpoint,rh_nextstrain_is_in,rh_nextstrain_type,rh_nextstrain_left_pango_parent,rh_nextstrain_right_pango_parent,rh_nextstrain_left_breakpoint,rh_nextstrain_right_breakpoint,covrecomb_is_in,covrecomb_type,covrecomb_left_pango_parent,covrecomb_right_pango_parent,covrecomb_left_breakpoint,covrecomb_right_breakpoint
XBS,https://github.com/cov-lineages/pango-designation/issues/1567,simple,BA.2.75,BQ.1,-,-,20,19,,TRUE,https://github.com/jeromekelleher/sc2ts-paper/issues/366,FALSE,TRUE,simple,n/a,n/a,TRUE,BA.2.75,BQ.1.1,22034,22190,FALSE,n/a,n/a,n/a,n/a,n/a,TRUE,complex,BQ.1.1,BN.1;BQ.1.1,-,-,FALSE,n/a,n/a,n/a,n/a,n/a
XBW,https://github.com/cov-lineages/pango-designation/issues/1505,simple,XBB.1.5,BQ.1.14,25416,26275,1,1,,TRUE,https://github.com/jeromekelleher/sc2ts-paper/issues/366,FALSE,TRUE,simple,n/a,n/a,TRUE,XBB.1.5,BQ.1.14,25417,26275,FALSE,n/a,n/a,n/a,n/a,n/a,TRUE,simple,XBB.1.5,BQ.1.14,26274,26275,FALSE,n/a,n/a,n/a,n/a,n/a
XBZ,https://github.com/cov-lineages/pango-designation/issues/1666,simple,BA.5.2*,EF.1.3,-,-,4,2,,TRUE,https://github.com/jeromekelleher/sc2ts-paper/issues/366,FALSE,FALSE,non,n/a,n/a,n/a,n/a,n/a,n/a,n/a,FALSE,n/a,n/a,n/a,n/a,n/a,FALSE,n/a,n/a,n/a,n/a,n/a,FALSE,n/a,n/a,n/a,n/a,n/a
XC,https://github.com/cov-lineages/pango-designation/issues/263,simple,AY.29,B.1.1.7,25999,26002,6,6,,TRUE,,TRUE,n/a,simple,TRUE,FALSE,TRUE,AY.29,B.1.1.7,26768,27390,TRUE,simple,AY.29.1,Q.1,26766,26767,FALSE,n/a,n/a,n/a,n/a,n/a,TRUE,simple,AY.29.1,B.1.1.7*,26767,27972
XCA,https://github.com/cov-lineages/pango-designation/issues/1752,simple,BA.2.75*,BQ.1*,-,-,12,11,,TRUE,https://github.com/jeromekelleher/sc2ts-paper/issues/366,FALSE,TRUE,simple,n/a,n/a,TRUE,BA.2.75.2,BQ.1.1.1,22748,22893,FALSE,n/a,n/a,n/a,n/a,n/a,TRUE,simple,BA.2.75.2,BQ.1,22892,22893,FALSE,n/a,n/a,n/a,n/a,n/a
XCG,issue_not_found,simple,BA.5.2*,XBB.1,-,-,3,2,,TRUE,https://github.com/jeromekelleher/sc2ts-paper/issues/366,FALSE,FALSE,non,n/a,n/a,n/a,n/a,n/a,n/a,n/a,FALSE,n/a,n/a,n/a,n/a,n/a,FALSE,n/a,n/a,n/a,n/a,n/a,FALSE,n/a,n/a,n/a,n/a,n/a
XE,https://github.com/cov-lineages/pango-designation/issues/454,simple,BA.1*,BA.2*,10447,11288,1690,1438,,TRUE,https://github.com/jeromekelleher/sc2ts-paper/issues/337,TRUE,n/a,simple,TRUE,TRUE,TRUE,BA.1.17.2,BA.2,10448,11537,TRUE,simple,BA.1.17.2,BA.2.29,10447,10448,TRUE,simple,BD.1,BA.2.31,10449,10450,TRUE,simple,BA.1.9,BA.2.23,8393,9866
XF,https://github.com/cov-lineages/pango-designation/issues/445,simple,B.1.617.2*,BA.1*,5385,6512,28,25,,TRUE,,TRUE,n/a,simple,TRUE,FALSE,TRUE,AY.4,BA.1,5387,6402,TRUE,simple,AY.37,BA.1.16,4183,4184,TRUE,simple,AY.4.2,BA.1.16,5387,5388,FALSE,n/a,n/a,n/a,n/a,n/a
XG,https://github.com/cov-lineages/pango-designation/issues/447,simple,BA.1*,BA.2*,5926,6512,3,3,,TRUE,,TRUE,n/a,simple,TRUE,FALSE,TRUE,BA.1.17,BA.2,5925,8393,TRUE,simple,BA.1.17,BA.2,5943,5944,TRUE,simple,BA.1.17,BA.2,5943,5944,FALSE,n/a,n/a,n/a,n/a,n/a
XH,https://github.com/cov-lineages/pango-designation/issues/448,simple,BA.1*,BA.2*,10447,11288,4,4,,TRUE,https://github.com/jeromekelleher/sc2ts-paper/issues/337,TRUE,n/a,simple,TRUE,TRUE,TRUE,BA.1.17.2,BA.2,10448,11537,TRUE,simple,BA.1,BA.2.9,10447,10448,TRUE,simple,BA.1,BA.2.9,10203,10204,TRUE,simple,BA.1.9,BA.2.9*,8393,11288
XJ,https://github.com/cov-lineages/pango-designation/issues/449,simple,BA.1*,BA.2*,13199,17401,89,87,,TRUE,,TRUE,n/a,simple,TRUE,FALSE,TRUE,BA.1.17.2,BA.2,13196,17410,TRUE,simple,BA.1.17.2,BA.2.65,13196,13197,TRUE,simple,BA.1.24,BA.2.1,13215,13216,TRUE,simple,BA.1.9,BA.2.9*,13195,15714
XL,https://github.com/cov-lineages/pango-designation/issues/464,simple,BA.1*,BA.2*,6517,8393,93,79,,TRUE,,TRUE,n/a,simple,TRUE,FALSE,TRUE,BA.1.17.2,BA.2,5925,8393,TRUE,simple,BA.1.17.2,BA.2,6512,6513,TRUE,simple,BA.1.17.2,BA.2,6524,6525,FALSE,n/a,n/a,n/a,n/a,n/a
XM,https://github.com/cov-lineages/pango-designation/issues/472,simple,BA.1.1*,BA.2*,17409,19996,41,34,,TRUE,https://github.com/jeromekelleher/sc2ts-paper/issues/365,TRUE,n/a,simple,FALSE,TRUE,TRUE,BA.1.1,BA.2,17411,21762,TRUE,simple,BA.1.1.16,BA.2.33,17420,17421,TRUE,simple,BA.1.24,BA.2.27,17426,17427,TRUE,simple,BA.1.1*,BA.2.23,15240,21618
XN,https://github.com/cov-lineages/pango-designation/issues/480,simple,BA.1*,BA.2*,2833,4184,215,183,,TRUE,https://github.com/jeromekelleher/sc2ts-paper/issues/285,TRUE,n/a,non,n/a,n/a,n/a,n/a,n/a,n/a,n/a,TRUE,non,n/a,n/a,n/a,n/a,TRUE,non,n/a,n/a,n/a,n/a,TRUE,simple,BA.2.3.16,BA.2.69,22688,22792
XP,https://github.com/cov-lineages/pango-designation/issues/481,simple,BA.1.1*,BA.2*,27384,29510,66,59,,TRUE,https://github.com/jeromekelleher/sc2ts-paper/issues/345,TRUE,n/a,non,n/a,n/a,n/a,n/a,n/a,n/a,n/a,TRUE,non,n/a,n/a,n/a,n/a,TRUE,simple,BA.1.1,BA.5.6.3,27889,27890,FALSE,n/a,n/a,n/a,n/a,n/a
XQ,https://github.com/cov-lineages/pango-designation/issues/468,simple,BA.1.1*,BA.2*,4321,5386,84,72,,TRUE,https://github.com/jeromekelleher/sc2ts-paper/issues/338,TRUE,n/a,simple,TRUE,TRUE,TRUE,BA.1.1.15,BA.2.9,4322,5386,TRUE,simple,BA.1.1.16,BA.2.5,4330,4331,TRUE,simple,BA.1.1.9,BA.2.23,4345,4346,FALSE,n/a,n/a,n/a,n/a,n/a
XR,https://github.com/cov-lineages/pango-designation/issues/469,simple,BA.1.1*,BA.2*,4321,4892,25,19,,TRUE,https://github.com/jeromekelleher/sc2ts-paper/issues/338,TRUE,n/a,simple,TRUE,TRUE,TRUE,BA.1.1.15,BA.2.9,4322,5386,TRUE,simple,BA.1.1.16,BA.2,4330,4331,TRUE,simple,BA.1.1.15,BA.2.9,4900,4901,FALSE,n/a,n/a,n/a,n/a,n/a
XS,https://github.com/cov-lineages/pango-designation/issues/471,simple,B.1.617.2*,BA.1.1*,9054,10448,30,25,,TRUE,https://github.com/jeromekelleher/sc2ts-paper/issues/287,TRUE,n/a,simple,FALSE,FALSE,TRUE,AY.103,BA.1.1,9054,10449,TRUE,simple,AY.126,BA.1.1,9069,9070,TRUE,simple,AY.126,BA.1.1,9071,9072,TRUE,simple,AY.112*,BA.1.1*,9053,10449
XU,https://github.com/cov-lineages/pango-designation/issues/522,simple,BA.1*,BA.2*,6517,9344,2,1,,TRUE,https://github.com/jeromekelleher/sc2ts-paper/issues/338,TRUE,n/a,simple,TRUE,TRUE,TRUE,BA.1.1.15,BA.2.9,4322,5386,TRUE,simple,BA.1.17,BA.2.37,5943,5944,TRUE,simple,BA.1.10,BA.2,6524,6525,FALSE,n/a,n/a,n/a,n/a,n/a
XW,https://github.com/cov-lineages/pango-designation/issues/591,simple,BA.1*,BA.2*,2833,4184,52,44,,TRUE,,TRUE,n/a,simple,TRUE,FALSE,TRUE,BA.1.1.15,BA.2,2833,4321,TRUE,simple,BA.1.1.2,BA.2.23,2835,2836,TRUE,simple,BA.1.1.9,BA.2,2835,2836,FALSE,n/a,n/a,n/a,n/a,n/a
XY,https://github.com/cov-lineages/pango-designation/issues/606,simple,BA.1*,BA.2*,11539,12880,32,31,,TRUE,,TRUE,n/a,simple,TRUE,FALSE,TRUE,BA.1.1,BA.2,11538,12880,TRUE,simple,BA.1.1,BA.2,11547,11548,TRUE,simple,BA.1.1,BA.2,11561,11562,TRUE,simple,BA.1.1*,BA.2.9*,15240,21618
XZ,https://github.com/cov-lineages/pango-designation/issues/636,simple,BA.2*,BA.1*,26061,26251,63,61,,TRUE,https://github.com/jeromekelleher/sc2ts-paper/issues/339,TRUE,n/a,simple,TRUE,TRUE,TRUE,BA.2,BA.1.17.2,24504,26060,TRUE,simple,BA.2,BA.1.1.12,26274,26275,TRUE,simple,BA.2.34,BA.1.23,26274,26275,FALSE,n/a,n/a,n/a,n/a,n/a
