usher_node,pango_counts,sc2ts_mrca,sc2ts_num_descendants,sc2ts_closest_recombinant,sc2ts_closest_recombinant_path_len,usher_num_descendants
node_20560,{'B.1.526': 4},260178,4,260179,1,4
ERR6785047,{'AY.120': 1},507792,1,-1,2147483648,1
node_175035,{'AY.100': 4},656812,22,-1,2147483648,4
node_182265,{'AY.119': 4},392046,9,-1,2147483648,4
node_186168,{'AY.127': 3},660482,11,660483,1,3
node_180878,{'AY.4.2': 1},644255,1,295320,7,1
ERR7308920,{'AY.4': 1},698158,1,698159,1,1
SRR15993592,{'AY.118': 1},448294,1,448295,1,1
ERR10931828,{'CH.1.1': 1},1431987,1,1431988,1,1
ERR10306608,{'BE.1': 1},1372031,1,1372032,1,1
node_181564,{'AY.20': 1},823217,1,-1,2147483648,1
node_86663,{'AY.4': 2},810493,2,-1,2147483648,2
node_23584,{'B.1.375': 2},148226,2,148227,1,2
node_197730,{'AY.5': 2},371112,2,371112,0,2
SRR14399101,{'B.1.1.519': 1},183650,1,-1,2147483648,1
ERR7684935,{'AY.4': 1},822259,1,822260,1,1
node_182178,{'AY.119.2': 29},585176,33,537763,1,29
SRR20226771,{'AY.116.1': 1},696713,1,349841,1,1
ERR7696866,{'AY.4': 1},863559,1,863560,1,1
ERR7238507,{'AY.4': 1},678507,1,-1,2147483648,1
node_182356,{'AY.113': 1},596107,1,596108,1,1
ERR5304348,{'B.1.1': 1},98999,1,99000,1,1
node_181889,{'AY.100': 2},575326,30,-1,2147483648,2
node_181781,{'AY.100': 1},891348,1,891349,1,1
SRR20263943,{'AY.100': 1},808600,5,-1,2147483648,1
ERR7377859,{'B.1.617.2': 1},729649,1,729650,1,1
ERR6766013,{'AY.36': 1},486088,1,-1,2147483648,1
ERR9940303,{'BA.5.1': 1},1279041,1,1279042,1,1
ERR7802481,{'AY.43': 1},849951,1,-1,2147483648,1
node_182362,{'AY.113': 6},521905,42,295320,7,6
SRR20249756,{'AY.119': 1},747817,1,-1,2147483648,1
node_539515,{'BA.2': 3},1335901,21532,1189192,8,3
SRR17275446,{'B.1.617.2': 1},846619,1,295320,6,1
node_189373,{'AY.119': 37},617347,42,295320,8,37
node_189561,{'AY.119': 2},776976,2,-1,2147483648,2
ERR6830767,{'AY.4': 1},492002,3,-1,2147483648,1
node_180681,{'AY.4': 1},698179,1,295320,3,1
ERR8178285,{'AY.43': 1},874853,1,-1,2147483648,1
SRR16196766,{'AY.110': 1},510040,1,-1,2147483648,1
node_21259,{'B.1.526': 4},45989,290406,-1,2147483648,4
SRR23358540,{'BA.2': 1},1430451,1,1430452,1,1
ERR9123984,{'BA.1.18': 1},1083775,1,-1,2147483648,1
ERR7239731,{'AY.4': 1},678514,1,678515,1,1
SRR23612268,{'AY.44': 1},355136,1,355137,1,1
ERR6760184,{'AY.60': 1},440319,1,440320,1,1
ERR7377917,{'AY.4.2': 1},723169,1,-1,2147483648,1
ERR6886412,{'AY.4': 1},536855,1,536856,1,1
node_193210,{'AY.34.1': 6},820000,6,-1,2147483648,6
node_121593,{'B.1.617.2': 8},640847,10,640848,1,8
ERR6485055,{'B.1.617.2': 1},325210,1,295320,6,1
node_217483,{'AY.39': 3},782458,3,663511,1,3
node_626155,{'BA.2.3': 1},1140387,1,-1,2147483648,1
node_182016,{'AY.117': 1},685486,1,295320,9,1
SRR20395155,{'BA.1.1': 1},1090645,1,-1,2147483648,1
node_180829,{'AY.4.2.1': 11},238065,612069,-1,2147483648,11
